,team,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value
4566,CF Monterrey,Defender Centre-Back,183.0,21.0,59,0.037144036,0.018572018,0.148576145,0.0,0.018572018,0.0,0.0,4846,0,0,1,5000000,5000000
4567,CF Monterrey,Defender Centre-Back,183.0,26.0,67,0.039630119,0.019815059,0.416116248,0.0,0.0,0.0,0.0,4542,0,0,2,4500000,6000000
4568,CF Monterrey,Defender Centre-Back,184.0,35.0,61,0.020857474,0.0,0.166859791,0.0,0.0,0.0,0.0,4315,326,38,7,1200000,8000000
4569,CF Monterrey,Defender Centre-Back,182.0,23.0,38,0.088350785,0.0,0.206151832,0.0,0.0,0.0,0.0,3056,0,0,2,400000,400000
4571,CF Monterrey,Defender Left-Back,174.0,26.0,57,0.047694754,0.095389507,0.143084261,0.0,0.023847377,0.0,0.0,3774,37,8,2,4500000,6000000
4572,CF Monterrey,Defender Left-Back,174.0,28.0,77,0.150697674,0.08372093,0.217674419,0.0,0.0,0.0,0.0,5375,9,2,5,4000000,6000000
4573,CF Monterrey,Defender Right-Back,179.0,30.0,71,0.061760165,0.046320124,0.185280494,0.0,0.015440041,0.0,0.0,5829,25,4,11,3200000,4000000
4575,CF Monterrey,midfield-DefensiveMidfield,184.0,27.0,68,0.083179298,0.166358595,0.166358595,0.0,0.0,0.0,0.0,5410,0,0,2,6500000,10000000
4576,CF Monterrey,midfield-DefensiveMidfield,175.0,34.0,73,0.0,0.072420036,0.090525045,0.0,0.018105009,0.0,0.0,4971,354,44,6,1500000,3000000
4579,CF Monterrey,Attack-LeftWinger,175.0,28.0,80,0.26326053,0.315912637,0.052652106,0.0,0.0,0.0,0.0,5128,304,53,5,7000000,7000000
4582,CF Monterrey,Attack-RightWinger,181.0,30.0,78,0.186657449,0.217767024,0.342205323,0.0,0.0,0.0,0.0,5786,7,0,5,6000000,14000000
4583,CF Monterrey,Attack-RightWinger,172.0,26.0,66,0.201021059,0.114869177,0.229738354,0.0,0.0,0.0,0.0,3134,0,0,1,2500000,2500000
4584,CF Monterrey,Attack Centre-Forward,173.0,24.0,76,0.408891773,0.146032776,0.116826221,0.0,0.014603278,0.0,0.0,6163,0,0,1,5500000,5500000
4585,CF Monterrey,Attack Centre-Forward,183.0,28.0,69,0.387931034,0.155172414,0.213362069,0.0,0.0,0.0,0.0,4640,334,44,1,4500000,4500000
4586,CF Monterrey,Attack Centre-Forward,186.0,32.0,57,0.58974959,0.063187456,0.315937281,0.021062485,0.0,0.0,0.0,4273,151,22,8,3500000,8000000
4587,Atlas Guadalajara,Goalkeeper,185.0,34.0,82,0.0,0.0,0.110565111,0.0,0.012285012,0.982800983,0.368550369,7326,0,0,6,2000000,2500000
4589,Atlas Guadalajara,Goalkeeper,187.0,23.0,31,0.0,0.0,0.096774194,0.0,0.0,1.258064516,0.290322581,2790,0,0,0,100000,100000
4590,Atlas Guadalajara,Defender Centre-Back,183.0,32.0,84,0.048302697,0.0,0.072454045,0.0,0.012075674,0.0,0.0,7453,37,8,3,2000000,4200000
4591,Atlas Guadalajara,Defender Centre-Back,184.0,31.0,71,0.016411379,0.016411379,0.328227571,0.016411379,0.032822757,0.0,0.0,5484,196,12,2,2000000,2800000
4592,Atlas Guadalajara,Defender Centre-Back,181.0,27.0,46,0.029382958,0.029382958,0.293829579,0.0,0.0,0.0,0.0,3063,0,0,2,600000,800000
4593,Atlas Guadalajara,Defender Centre-Back,185.0,21.0,40,0.221948212,0.055487053,0.221948212,0.0,0.0,0.0,0.0,3244,0,0,3,400000,400000
4594,Atlas Guadalajara,Defender Centre-Back,180.0,22.0,39,0.16875,0.028125,0.140625,0.0,0.0,0.0,0.0,3200,0,0,1,250000,300000
4595,Atlas Guadalajara,Defender Left-Back,180.0,32.0,79,0.068140521,0.122652938,0.218049667,0.013628104,0.013628104,0.0,0.0,6604,7,0,5,2000000,2500000
4597,Atlas Guadalajara,Defender Right-Back,173.0,26.0,66,0.062776099,0.062776099,0.146477563,0.0,0.0,0.0,0.0,4301,0,0,2,1800000,2500000
4598,Atlas Guadalajara,Defender Right-Back,175.0,29.0,53,0.0,0.074094402,0.197585071,0.0,0.0,0.0,0.0,3644,0,0,5,1500000,3000000
4600,Atlas Guadalajara,midfield-DefensiveMidfield,167.0,30.0,72,0.072815534,0.029126214,0.349514563,0.014563107,0.0,0.0,0.0,6180,31,7,4,3500000,4000000
4601,Atlas Guadalajara,midfield-DefensiveMidfield,172.0,26.0,77,0.022670025,0.068010076,0.362720403,0.0,0.0,0.0,0.0,3970,242,28,2,2000000,2500000
4602,Atlas Guadalajara,midfield-CentralMidfield,177.0,22.0,75,0.058214748,0.09702458,0.077619664,0.0,0.019404916,0.0,0.0,4638,0,0,2,4000000,4000000
4604,Atlas Guadalajara,midfield-CentralMidfield,175.0,22.0,53,0.123694338,0.074216603,0.346344145,0.024738868,0.0,0.0,0.0,3638,0,0,2,150000,150000
4605,Atlas Guadalajara,Attack-LeftWinger,167.0,29.0,57,0.348162476,0.099474993,0.348162476,0.024868748,0.0,0.0,0.0,3619,460,53,3,4000000,7500000
4607,Atlas Guadalajara,Attack-RightWinger,183.0,22.0,67,0.202076901,0.176817289,0.126298063,0.0,0.0,0.0,0.0,3563,19,4,2,2000000,2000000
4608,Atlas Guadalajara,Attack Centre-Forward,180.0,26.0,81,0.450579316,0.154484337,0.193105421,0.0,0.012873695,0.0,0.0,6991,330,40,5,6000000,6000000
4609,Atlas Guadalajara,Attack Centre-Forward,188.0,33.0,75,0.350906933,0.152568232,0.04577047,0.015256823,0.015256823,0.0,0.0,5899,102,15,4,1500000,6000000
4613,UNAM Pumas,Goalkeeper,182.0,32.0,50,0.02,0.0,0.04,0.0,0.0,1.46,0.22,4500,10,2,4,800000,800000
4615,UNAM Pumas,Defender Centre-Back,187.0,29.0,73,0.027945971,0.013972986,0.153702841,0.013972986,0.0,0.0,0.0,6441,0,0,1,2500000,2800000
4616,UNAM Pumas,Defender Centre-Back,181.0,30.0,68,0.075478028,0.015095606,0.211338477,0.0,0.030191211,0.0,0.0,5962,41,4,2,1500000,1800000
4617,UNAM Pumas,Defender Centre-Back,183.0,29.0,67,0.063626723,0.0,0.318133616,0.015906681,0.031813362,0.0,0.0,5658,0,0,1,800000,800000
4618,UNAM Pumas,Defender Centre-Back,181.0,25.0,50,0.0,0.0,0.31783402,0.0,0.0,0.0,0.0,3398,4,1,0,500000,500000
4619,UNAM Pumas,Defender Left-Back,177.0,34.0,46,0.025330706,0.075992119,0.126653532,0.0,0.025330706,0.0,0.0,3553,17,4,9,800000,2000000
4620,UNAM Pumas,Defender Right-Back,177.0,23.0,61,0.019202048,0.057606145,0.076808193,0.019202048,0.0,0.0,0.0,4687,0,0,0,800000,1000000
4622,UNAM Pumas,midfield-DefensiveMidfield,186.0,28.0,67,0.039147455,0.078294911,0.25445846,0.019573728,0.0,0.0,0.0,4598,15,3,0,1800000,1800000
4625,UNAM Pumas,midfield-CentralMidfield,160.0,26.0,61,0.106846063,0.089038385,0.089038385,0.0,0.017807677,0.0,0.0,5054,0,0,0,600000,600000
4631,UNAM Pumas,Attack-RightWinger,178.0,24.0,68,0.121594236,0.020265706,0.202657059,0.0,0.0,0.0,0.0,4441,0,0,0,600000,1000000
4633,UNAM Pumas,Attack Centre-Forward,186.0,28.0,78,0.483794466,0.113833992,0.184980237,0.0,0.042687747,0.0,0.0,6325,0,0,1,4500000,5000000
4635,UNAM Pumas,Attack Centre-Forward,193.0,26.0,68,0.302775442,0.100925147,0.227081581,0.025231287,0.025231287,0.0,0.0,3567,0,0,0,1200000,1200000
4636,UNAM Pumas,Attack Centre-Forward,171.0,22.0,50,0.181086519,0.072434608,0.434607646,0.0,0.036217304,0.0,0.0,2485,0,0,1,1200000,1500000
4637,Deportivo Toluca,Goalkeeper,189.0,32.0,41,0.097560976,0.0,0.12195122,0.0,0.0,1.43902439,0.195121951,3690,0,0,2,2200000,4000000
4640,Deportivo Toluca,Defender Centre-Back,185.0,29.0,54,0.076481836,0.019120459,0.095602294,0.0,0.0,0.0,0.0,4707,7,3,8,3000000,3000000
4641,Deportivo Toluca,Defender Centre-Back,178.0,33.0,80,0.041227668,0.041227668,0.109940449,0.0,0.0,0.0,0.0,6549,158,14,3,1800000,2500000
4642,Deportivo Toluca,Defender Centre-Back,190.0,23.0,43,0.130928135,0.078556881,0.340413151,0.052371254,0.026185627,0.0,0.0,3437,70,11,2,1500000,3000000
4643,Deportivo Toluca,Defender Left-Back,175.0,33.0,72,0.050457858,0.084096431,0.185012147,0.016819286,0.0,0.0,0.0,5351,546,58,2,1500000,2000000
4644,Deportivo Toluca,Defender Left-Back,179.0,21.0,54,0.054595086,0.0,0.272975432,0.0,0.0,0.0,0.0,3297,0,0,0,600000,700000
4646,Deportivo Toluca,Defender Right-Back,170.0,25.0,69,0.047770701,0.063694268,0.175159236,0.0,0.0,0.0,0.0,5652,0,0,0,2500000,2500000
