,team,position,height,age,appearance,goals,assists,yellow cards,second yellow cards,red cards,goals conceded,clean sheets,minutes played,days_injured,games_injured,award,current_value,highest_value
6383,LASK,Attack-RightWinger,181.0,30.0,74,0.332375872,0.276979893,0.129257284,0.0,0.0,0.0,0.0,4874,335,29,0,800000,3500000
6384,LASK,Attack Centre-Forward,183.0,21.0,70,0.583153348,0.121490281,0.218682505,0.0,0.024298056,0.0,0.0,3704,13,2,1,3500000,3500000
6385,LASK,Attack Centre-Forward,180.0,22.0,73,0.301003344,0.258002867,0.236502628,0.021500239,0.0,0.0,0.0,4186,0,0,1,1200000,1200000
6388,SCR Altach,Goalkeeper,192.0,27.0,55,0.0,0.0,0.0,0.0,0.0,1.619490497,0.181965224,4946,124,14,1,350000,500000
6390,SCR Altach,Defender Centre-Back,186.0,22.0,47,0.051092819,0.0,0.434288958,0.025546409,0.0,0.0,0.0,3523,89,14,4,450000,450000
6391,SCR Altach,Defender Centre-Back,187.0,32.0,53,0.020422056,0.0,0.183798502,0.0,0.0,0.0,0.0,4407,556,70,1,250000,600000
6392,SCR Altach,Defender Centre-Back,184.0,21.0,45,0.053128689,0.0,0.212514758,0.0,0.0,0.0,0.0,3388,44,7,1,250000,250000
6393,SCR Altach,Defender Centre-Back,191.0,28.0,57,0.070717653,0.023572551,0.259298062,0.0,0.0,0.0,0.0,3818,106,11,3,300000,800000
6394,SCR Altach,Defender Centre-Back,202.0,25.0,39,0.0,0.0,0.206286837,0.0,0.0,0.0,0.0,3054,20,2,0,250000,900000
6395,SCR Altach,Defender Left-Back,178.0,26.0,51,0.0,0.068493151,0.205479452,0.0456621,0.02283105,0.0,0.0,3942,308,33,1,350000,350000
6396,SCR Altach,Defender Left-Back,185.0,20.0,70,0.071132187,0.195613515,0.142264375,0.0,0.0,0.0,0.0,5061,18,4,0,400000,400000
6397,SCR Altach,Defender Right-Back,172.0,24.0,46,0.057161003,0.228644014,0.17148301,0.0,0.028580502,0.0,0.0,3149,260,37,1,450000,500000
6399,SCR Altach,Defender Right-Back,180.0,19.0,40,0.053270198,0.0,0.239715892,0.0,0.0,0.0,0.0,3379,2,1,0,75000,75000
6400,SCR Altach,midfield-DefensiveMidfield,184.0,29.0,70,0.043699927,0.043699927,0.30589949,0.0,0.0,0.0,0.0,4119,50,2,1,450000,800000
6401,SCR Altach,midfield-DefensiveMidfield,188.0,28.0,60,0.042492918,0.063739377,0.148725212,0.0,0.0,0.0,0.0,4236,34,6,1,400000,400000
6404,SCR Altach,midfield-RightMidfield,177.0,22.0,57,0.2282526,0.18260208,0.06847578,0.0,0.0,0.0,0.0,3943,7,1,0,450000,450000
6405,SCR Altach,midfield-LeftMidfield,180.0,34.0,44,0.072347267,0.072347267,0.1085209,0.0,0.0,0.0,0.0,2488,202,27,2,200000,400000
6407,SCR Altach,Attack-LeftWinger,183.0,27.0,62,0.222222222,0.111111111,0.083333333,0.0,0.0,0.0,0.0,3240,679,62,2,500000,2000000
6410,SCR Altach,Attack-RightWinger,176.0,21.0,47,0.031380753,0.094142259,0.125523013,0.0,0.0,0.0,0.0,2868,54,7,0,150000,150000
6412,SCR Altach,Attack Centre-Forward,196.0,33.0,63,0.360721443,0.100200401,0.340681363,0.02004008,0.0,0.0,0.0,4491,3,1,0,300000,800000
6413,SCR Altach,Attack Centre-Forward,185.0,20.0,53,0.285351934,0.057070387,0.114140774,0.0,0.028535193,0.0,0.0,3154,109,8,0,450000,450000
6414,SCR Altach,Attack Centre-Forward,180.0,22.0,43,0.539352777,0.179784259,0.251697962,0.0,0.0,0.0,0.0,2503,61,5,1,350000,350000
6415,SCR Altach,Attack Centre-Forward,182.0,18.0,46,0.861678005,0.0,0.181405896,0.0,0.0,0.0,0.0,3969,0,0,0,50000,50000
6416,SC Austria Lustenau,Goalkeeper,185.0,28.0,64,0.0,0.0,0.093264249,0.0,0.0,1.29015544,0.264248705,5790,35,4,5,400000,400000
6418,SC Austria Lustenau,Goalkeeper,181.2403529,18.0,36,0.0,0.0,0.085173502,0.0,0.0,1.987381703,0.141955836,3170,0,0,0,25000,25000
6419,SC Austria Lustenau,Defender Centre-Back,186.0,23.0,65,0.031419096,0.0,0.157095479,0.0,0.015709548,0.0,0.0,5729,0,0,1,700000,700000
6420,SC Austria Lustenau,Defender Centre-Back,191.0,31.0,57,0.018773467,0.018773467,0.131414268,0.018773467,0.0,0.0,0.0,4794,390,27,3,350000,400000
6421,SC Austria Lustenau,Defender Centre-Back,188.0,24.0,43,0.09054326,0.060362173,0.331991952,0.060362173,0.0,0.0,0.0,2982,242,27,0,350000,350000
6422,SC Austria Lustenau,Defender Centre-Back,181.2403529,20.0,49,0.045135406,0.0,0.157973922,0.0,0.0,0.0,0.0,3988,0,0,1,25000,25000
6423,SC Austria Lustenau,Defender Left-Back,172.0,23.0,62,0.040577096,0.223174031,0.223174031,0.0,0.0,0.0,0.0,4436,99,15,1,500000,500000
6425,SC Austria Lustenau,Defender Right-Back,184.0,25.0,55,0.145362252,0.20766036,0.186894324,0.0,0.041532072,0.0,0.0,4334,14,2,1,700000,700000
6426,SC Austria Lustenau,Defender Right-Back,177.0,26.0,60,0.0,0.139247035,0.116039195,0.0,0.0,0.0,0.0,3878,115,10,2,400000,400000
6427,SC Austria Lustenau,midfield,181.2403529,19.0,49,0.277711844,0.0,0.085449798,0.0,0.0,0.0,0.0,4213,0,0,0,25000,50000
6429,SC Austria Lustenau,midfield-CentralMidfield,173.0,20.0,49,0.0,0.273972603,0.171232877,0.0,0.0,0.0,0.0,2628,210,28,1,600000,2000000
6430,SC Austria Lustenau,midfield-CentralMidfield,178.0,21.0,61,0.035488959,0.035488959,0.35488959,0.0,0.0,0.0,0.0,2536,2,1,1,500000,500000
6431,SC Austria Lustenau,midfield-CentralMidfield,170.0,29.0,62,0.035349568,0.017674784,0.229772192,0.0,0.0,0.0,0.0,5092,176,23,1,350000,350000
6435,SC Austria Lustenau,midfield-AttackingMidfield,183.0,24.0,69,0.229943792,0.122636689,0.076647931,0.015329586,0.0,0.0,0.0,5871,15,3,1,800000,800000
6436,SC Austria Lustenau,midfield-AttackingMidfield,181.2403529,22.0,43,0.285941223,0.178713264,0.035742653,0.0,0.035742653,0.0,0.0,2518,0,0,0,550000,550000
6437,SC Austria Lustenau,Attack-LeftWinger,179.0,20.0,64,0.676470588,0.323529412,0.117647059,0.0,0.0,0.0,0.0,3060,0,0,4,1000000,1200000
6438,SC Austria Lustenau,Attack-RightWinger,181.0,26.0,52,0.352941176,0.294117647,0.235294118,0.0,0.0,0.0,0.0,3060,31,4,1,400000,400000
6440,SC Austria Lustenau,Attack Centre-Forward,183.0,24.0,60,0.441431044,0.181765724,0.051933064,0.0,0.0,0.0,0.0,3466,50,3,1,400000,450000
6441,SC Austria Lustenau,Attack Centre-Forward,180.0,25.0,54,0.478723404,0.197121402,0.281602003,0.0,0.0,0.0,0.0,3196,169,18,4,700000,700000
6442,SV Ried,Goalkeeper,198.0,30.0,64,0.0,0.0,0.07826087,0.0,0.015652174,1.565217391,0.156521739,5750,412,44,0,600000,700000
6445,SV Ried,Goalkeeper,191.0,20.0,49,0.0,0.0,0.082116788,0.0,0.020529197,1.888686131,0.246350365,4384,0,0,0,25000,25000
6446,SV Ried,Defender Centre-Back,197.0,25.0,69,0.0598106,0.04485795,0.0598106,0.0299053,0.0,0.0,0.0,6019,18,4,0,550000,550000
6447,SV Ried,Defender Centre-Back,190.0,23.0,61,0.024390244,0.073170732,0.219512195,0.024390244,0.048780488,0.0,0.0,3690,7,1,0,350000,350000
6448,SV Ried,Defender Centre-Back,187.0,21.0,50,0.088495575,0.044247788,0.088495575,0.0,0.0,0.0,0.0,4068,53,6,1,250000,300000
6449,SV Ried,Defender Centre-Back,191.0,32.0,52,0.0,0.026921926,0.161531558,0.026921926,0.0,0.0,0.0,3343,81,12,1,200000,700000
6450,SV Ried,Defender Centre-Back,192.0,20.0,41,0.029900332,0.0,0.209302326,0.029900332,0.029900332,0.0,0.0,3010,2,1,0,150000,150000
6451,SV Ried,Defender Left-Back,173.0,21.0,42,0.0,0.142045455,0.284090909,0.0,0.028409091,0.0,0.0,3168,0,0,0,350000,350000
6452,SV Ried,Defender Left-Back,180.0,24.0,50,0.04193849,0.0,0.104846226,0.0,0.0,0.0,0.0,4292,0,0,1,50000,50000
6455,SV Ried,midfield-DefensiveMidfield,182.0,30.0,49,0.070551346,0.04703423,0.235171152,0.0,0.0,0.0,0.0,3827,672,80,2,300000,700000
6456,SV Ried,midfield-CentralMidfield,180.0,23.0,42,0.0,0.054561988,0.054561988,0.0,0.0,0.0,0.0,3299,602,50,2,300000,450000
6457,SV Ried,midfield-CentralMidfield,180.0,22.0,47,0.087633885,0.065725414,0.240993184,0.0,0.0,0.0,0.0,4108,27,3,0,400000,400000
6458,SV Ried,midfield-CentralMidfield,170.0,17.0,42,0.08994004,0.0,0.209860093,0.0,0.0,0.0,0.0,3002,0,0,0,250000,250000
6459,SV Ried,midfield-RightMidfield,175.0,25.0,68,0.059171598,0.088757396,0.177514793,0.0,0.0,0.0,0.0,3042,278,25,0,400000,1000000
6460,SV Ried,midfield-RightMidfield,171.0,30.0,59,0.192994996,0.064331665,0.150107219,0.0,0.0,0.0,0.0,4197,460,45,3,200000,800000
6462,SV Ried,midfield-LeftMidfield,180.0,25.0,68,0.068676078,0.120183136,0.103014117,0.0,0.0,0.0,0.0,5242,132,19,1,400000,500000
6463,SV Ried,Attack-LeftWinger,180.0,26.0,66,0.263697627,0.131848813,0.105479051,0.026369763,0.026369763,0.0,0.0,3413,60,8,0,250000,300000
6464,SV Ried,midfield-AttackingMidfield,178.0,31.0,62,0.209586649,0.401707743,0.08732777,0.0,0.017465554,0.0,0.0,5153,169,30,3,500000,750000
6465,SV Ried,midfield-AttackingMidfield,177.0,21.0,40,0.298452469,0.132645542,0.232129698,0.0,0.0,0.0,0.0,2714,105,16,3,250000,300000
6467,SV Ried,Attack-RightWinger,183.0,18.0,48,0.3382399,0.084559975,0.084559975,0.0,0.0,0.0,0.0,3193,10,2,0,250000,250000
6468,SV Ried,Attack Centre-Forward,183.0,21.0,66,0.552961416,0.154829196,0.176947653,0.0,0.0,0.0,0.0,4069,0,0,2,500000,500000
6469,SV Ried,Attack Centre-Forward,178.0,30.0,57,0.34688157,0.126138753,0.094604064,0.0,0.0,0.0,0.0,2854,252,33,1,250000,2000000
6472,SV Ried,Attack Centre-Forward,181.0,24.0,40,0.757065949,0.060565276,0.15141319,0.0,0.0,0.0,0.0,2972,283,29,0,75000,125000
6473,TSV Hartberg,Goalkeeper,196.0,27.0,28,0.0,0.0,0.071770335,0.0,0.0,1.471291866,0.251196172,2508,0,0,1,400000,400000
6474,TSV Hartberg,Goalkeeper,189.0,24.0,48,0.0,0.0,0.020886517,0.0,0.0,1.524715711,0.1253191,4309,38,4,0,200000,350000
6477,TSV Hartberg,Defender Centre-Back,190.0,23.0,53,0.023980815,0.0,0.143884892,0.0,0.0,0.0,0.0,3753,12,3,2,350000,350000
6478,TSV Hartberg,Defender Centre-Back,188.0,31.0,42,0.063268893,0.094903339,0.379613357,0.0,0.0,0.0,0.0,2845,0,0,1,250000,400000
6480,TSV Hartberg,Defender Centre-Back,182.0,36.0,47,0.046463604,0.023231802,0.092927207,0.0,0.0,0.0,0.0,3874,363,48,1,150000,1100000
6481,TSV Hartberg,Defender Centre-Back,191.0,25.0,38,0.0,0.0,0.087804878,0.0,0.0,0.0,0.0,3075,0,0,1,200000,250000
6482,TSV Hartberg,Defender Left-Back,178.0,23.0,54,0.0,0.045638945,0.159736308,0.0,0.022819473,0.0,0.0,3944,30,6,1,450000,450000
6484,TSV Hartberg,Defender Right-Back,179.0,30.0,43,0.0,0.121130552,0.333109017,0.0,0.0,0.0,0.0,2972,560,69,8,200000,1500000
6487,TSV Hartberg,midfield-DefensiveMidfield,180.0,24.0,55,0.084719172,0.056479448,0.282397239,0.0,0.028239724,0.0,0.0,3187,11,3,0,400000,550000
6488,TSV Hartberg,midfield-DefensiveMidfield,174.0,30.0,70,0.016522857,0.09913714,0.14870571,0.0,0.0,0.0,0.0,5447,100,12,2,400000,650000
6492,TSV Hartberg,midfield-CentralMidfield,176.0,26.0,65,0.132328616,0.16541077,0.248116155,0.0,0.0,0.0,0.0,5441,0,0,1,650000,650000
6495,TSV Hartberg,midfield-AttackingMidfield,176.0,22.0,57,0.180826636,0.129161883,0.309988519,0.0,0.0,0.0,0.0,3484,0,0,0,350000,350000
6496,TSV Hartberg,midfield-AttackingMidfield,178.0,20.0,56,0.185185185,0.092592593,0.231481481,0.0,0.0,0.0,0.0,3888,0,0,1,600000,600000
6499,TSV Hartberg,Attack-LeftWinger,172.0,26.0,54,0.371083013,0.19791094,0.321605278,0.0,0.0,0.0,0.0,3638,372,52,2,800000,3000000
6501,TSV Hartberg,Attack-RightWinger,176.0,29.0,57,0.098441345,0.147662018,0.147662018,0.0,0.0,0.0,0.0,3657,4,2,0,600000,1750000
6502,TSV Hartberg,Attack Centre-Forward,179.0,33.0,62,0.458404075,0.174630124,0.043657531,0.0,0.0,0.0,0.0,4123,496,50,4,250000,800000
6503,TSV Hartberg,Attack Centre-Forward,198.0,24.0,59,0.588601682,0.112114606,0.140143258,0.0,0.0,0.0,0.0,3211,0,0,0,300000,400000
6506,WSG Tirol,Goalkeeper,183.0,32.0,57,0.0,0.0,0.017629775,0.0,0.017629775,1.815866797,0.211557297,5105,132,28,4,300000,400000
6508,WSG Tirol,Goalkeeper,181.2403529,19.0,29,0.0,0.0,0.034482759,0.0,0.0,2.034482759,0.103448276,2610,0,0,0,50000,50000
6510,WSG Tirol,Defender Centre-Back,187.0,26.0,70,0.058565154,0.029282577,0.248901903,0.0,0.014641288,0.0,0.0,6147,0,0,1,500000,600000
6511,WSG Tirol,Defender Centre-Back,190.0,22.0,57,0.021306818,0.042613636,0.170454545,0.021306818,0.021306818,0.0,0.0,4224,56,7,1,400000,400000
6512,WSG Tirol,Defender Centre-Back,185.0,24.0,42,0.028116214,0.028116214,0.224929709,0.0,0.0,0.0,0.0,3201,679,51,4,300000,350000
6513,WSG Tirol,Defender Centre-Back,189.0,29.0,50,0.096085409,0.096085409,0.192170819,0.06405694,0.0,0.0,0.0,2810,510,76,2,200000,250000
6514,WSG Tirol,Defender Left-Back,188.0,33.0,46,0.092592593,0.115740741,0.115740741,0.023148148,0.0,0.0,0.0,3888,137,22,0,300000,700000
6518,WSG Tirol,midfield-DefensiveMidfield,175.0,24.0,66,0.113924051,0.094936709,0.170886076,0.0,0.0,0.0,0.0,4740,148,16,0,500000,600000
6519,WSG Tirol,midfield-CentralMidfield,178.0,31.0,60,0.056168088,0.168504265,0.09361348,0.0,0.0,0.0,0.0,4807,73,10,0,450000,600000
6521,WSG Tirol,midfield-CentralMidfield,181.0,21.0,47,0.105757932,0.026439483,0.158636898,0.0,0.0,0.0,0.0,3404,0,0,0,100000,200000
6522,WSG Tirol,midfield-CentralMidfield,181.2403529,22.0,51,0.064966314,0.0,0.151588065,0.0,0.0,0.0,0.0,4156,0,0,0,100000,100000
6523,WSG Tirol,midfield-RightMidfield,171.0,23.0,52,0.044367759,0.133103278,0.288390436,0.0,0.0,0.0,0.0,4057,63,12,1,700000,700000
6524,WSG Tirol,midfield-RightMidfield,175.0,23.0,66,0.084368409,0.168736817,0.168736817,0.0,0.0,0.0,0.0,4267,17,2,0,550000,800000
6526,WSG Tirol,midfield-AttackingMidfield,183.0,24.0,55,0.235876529,0.209668026,0.209668026,0.0,0.0,0.0,0.0,3434,76,11,1,450000,450000
6528,WSG Tirol,Attack-RightWinger,181.2403529,20.0,39,0.310559006,0.0,0.031055901,0.0,0.0,0.0,0.0,2898,0,0,0,50000,50000
6529,WSG Tirol,Attack Centre-Forward,182.0,22.0,57,0.316981132,0.158490566,0.158490566,0.0,0.0,0.0,0.0,3975,153,22,0,800000,800000
6530,WSG Tirol,Attack Centre-Forward,183.0,21.0,68,0.266535044,0.207305035,0.17769003,0.0,0.0,0.0,0.0,3039,0,0,1,700000,1000000
6531,WSG Tirol,Attack Centre-Forward,181.2403529,20.0,63,0.938981979,0.028453999,0.056907999,0.028453999,0.0,0.0,0.0,3163,0,0,1,300000,300000
6534,Rapid Vienna,Goalkeeper,188.0,22.0,60,0.0,0.0,0.016510732,0.0,0.016510732,1.221794166,0.24766098,5451,23,6,0,1800000,1800000
6535,Rapid Vienna,Goalkeeper,187.0,26.0,32,0.0,0.0,0.09483667,0.0,0.0,1.390937829,0.158061117,2847,309,66,0,350000,500000
6537,Rapid Vienna,Defender Centre-Back,190.0,19.0,54,0.042462845,0.0,0.297239915,0.0,0.021231423,0.0,0.0,4239,53,10,0,1800000,1800000
6538,Rapid Vienna,Defender Centre-Back,187.0,30.0,50,0.046620047,0.0,0.34965035,0.0,0.023310023,0.0,0.0,3861,158,21,3,500000,12000000
6539,Rapid Vienna,Defender Centre-Back,183.0,29.0,37,0.063424947,0.0,0.412262156,0.0,0.0,0.0,0.0,2838,650,85,1,500000,1000000
6540,Rapid Vienna,Defender Centre-Back,187.0,33.0,67,0.015316542,0.0,0.183798502,0.0,0.015316542,0.0,0.0,5876,46,8,1,500000,1000000
6541,Rapid Vienna,Defender Centre-Back,185.0,21.0,39,0.057215512,0.028607756,0.286077559,0.0,0.0,0.0,0.0,3146,261,35,0,250000,300000
6543,Rapid Vienna,Defender Left-Back,182.0,22.0,72,0.019197952,0.287969283,0.191979522,0.0,0.0,0.0,0.0,4688,34,4,0,1800000,1800000
6544,Rapid Vienna,Defender Left-Back,185.0,22.0,62,0.020449898,0.020449898,0.18404908,0.0,0.020449898,0.0,0.0,4401,434,35,0,700000,800000
6545,Rapid Vienna,Defender Right-Back,183.0,20.0,48,0.137698898,0.165238678,0.137698898,0.02753978,0.02753978,0.0,0.0,3268,61,10,0,1700000,2000000
6546,Rapid Vienna,Defender Right-Back,180.0,28.0,54,0.023980815,0.047961631,0.215827338,0.0,0.023980815,0.0,0.0,3753,123,12,1,600000,700000
6547,Rapid Vienna,Defender Right-Back,180.0,33.0,80,0.0,0.261627907,0.402504472,0.0,0.0,0.0,0.0,4472,481,61,2,500000,1500000
6548,Rapid Vienna,Defender Right-Back,187.0,19.0,48,0.061876934,0.185630801,0.0928154,0.0,0.0,0.0,0.0,2909,328,38,0,250000,300000
6549,Rapid Vienna,midfield-DefensiveMidfield,190.0,23.0,39,0.0,0.0,0.473840079,0.0,0.0,0.0,0.0,3039,21,3,1,800000,800000
6552,Rapid Vienna,midfield-CentralMidfield,184.0,26.0,72,0.14530777,0.217961655,0.108980827,0.0,0.0,0.0,0.0,4955,35,5,3,900000,1000000
6553,Rapid Vienna,midfield-CentralMidfield,180.0,29.0,66,0.228248147,0.070230199,0.298478346,0.0,0.0,0.0,0.0,5126,263,19,1,750000,750000
6555,Rapid Vienna,midfield-CentralMidfield,171.0,21.0,50,0.030070164,0.120280655,0.270631473,0.0,0.0,0.0,0.0,2993,41,8,0,500000,500000
6556,Rapid Vienna,midfield-AttackingMidfield,181.0,31.0,61,0.241125251,0.210984595,0.120562626,0.0,0.0,0.0,0.0,2986,158,11,3,400000,2000000
6557,Rapid Vienna,Attack-LeftWinger,182.0,24.0,93,0.307419046,0.245935237,0.245935237,0.0,0.0,0.0,0.0,7319,14,2,1,3500000,5000000
6559,Rapid Vienna,Attack-RightWinger,174.0,23.0,56,0.176668536,0.176668536,0.126191812,0.0,0.0,0.0,0.0,3566,367,50,3,1500000,1500000
6560,Rapid Vienna,Attack-RightWinger,183.0,27.0,65,0.29478458,0.22675737,0.204081633,0.022675737,0.0,0.0,0.0,3969,322,46,2,750000,750000
6561,Rapid Vienna,Attack Centre-Forward,190.0,25.0,59,0.493488691,0.185058259,0.215901302,0.0,0.0,0.0,0.0,2918,219,31,1,1000000,2000000
6562,Rapid Vienna,Attack Centre-Forward,180.0,21.0,64,0.504617414,0.148416887,0.267150396,0.029683377,0.0,0.0,0.0,3032,0,0,0,1000000,1200000
6563,Rapid Vienna,Attack Centre-Forward,187.0,34.0,78,0.603666716,0.228051871,0.134148159,0.0,0.0,0.0,0.0,6709,479,54,2,1000000,13000000
6565,Austria Vienna,Goalkeeper,193.0,23.0,52,0.0,0.0,0.039525692,0.0,0.0,1.660079051,0.217391304,4554,301,30,11,1200000,1200000
6568,Austria Vienna,Defender Centre-Back,189.0,26.0,63,0.016435354,0.0,0.180788897,0.0,0.0,0.0,0.0,5476,245,26,1,1500000,4500000
6569,Austria Vienna,Defender Centre-Back,181.0,31.0,49,0.0,0.0,0.263865136,0.043977523,0.021988761,0.0,0.0,4093,719,77,0,400000,2500000
6570,Austria Vienna,Defender Centre-Back,185.0,28.0,56,0.038910506,0.116731518,0.194552529,0.019455253,0.0,0.0,0.0,4626,404,43,0,700000,700000
6571,Austria Vienna,Defender Centre-Back,196.0,25.0,44,0.02738059,0.0,0.109522361,0.0,0.0,0.0,0.0,3287,180,29,1,500000,800000
6572,Austria Vienna,Defender Centre-Back,185.0,22.0,56,0.019736842,0.019736842,0.059210526,0.0,0.0,0.0,0.0,4560,328,19,4,400000,400000
6573,Austria Vienna,Defender Left-Back,178.0,21.0,38,0.060240964,0.15060241,0.210843373,0.0,0.0,0.0,0.0,2988,159,16,0,1500000,1500000
6575,Austria Vienna,Defender Left-Back,185.0,27.0,47,0.086510734,0.0,0.173021467,0.0,0.0,0.0,0.0,3121,127,29,4,350000,500000
6576,Austria Vienna,Defender Right-Back,180.0,31.0,60,0.073544433,0.11031665,0.165474974,0.0,0.0,0.0,0.0,4895,83,8,2,600000,1500000
6578,Austria Vienna,midfield-DefensiveMidfield,182.0,34.0,63,0.0,0.108303249,0.238267148,0.0,0.0,0.0,0.0,4155,181,27,1,300000,1500000
6580,Austria Vienna,midfield-CentralMidfield,174.0,21.0,74,0.068143101,0.170357751,0.289608177,0.0,0.0,0.0,0.0,5283,10,1,0,3000000,3500000
6581,Austria Vienna,midfield-CentralMidfield,183.0,22.0,69,0.298926929,0.091977517,0.045988758,0.0,0.0,0.0,0.0,3914,66,12,0,1100000,1300000
6583,Austria Vienna,midfield-LeftMidfield,185.0,20.0,45,0.106592973,0.071061982,0.248716936,0.0,0.0,0.0,0.0,2533,0,0,0,300000,350000
6584,Austria Vienna,midfield-AttackingMidfield,174.0,23.0,62,0.302957442,0.454436163,0.216398173,0.0,0.0,0.0,0.0,4159,309,34,0,2500000,2500000
6585,Austria Vienna,midfield-AttackingMidfield,179.0,27.0,80,0.192884698,0.115730819,0.154307758,0.0,0.0,0.0,0.0,6999,95,7,0,1200000,1200000
6587,Austria Vienna,Attack-LeftWinger,183.0,20.0,67,0.166551006,0.187369882,0.270645385,0.0,0.0,0.0,0.0,4323,0,0,0,600000,600000
6588,Austria Vienna,Attack-RightWinger,174.0,27.0,54,0.473300971,0.509708738,0.218446602,0.0,0.0,0.0,0.0,2472,428,59,0,1200000,2000000
6590,Austria Vienna,Attack-SecondStriker,172.0,28.0,56,0.272624006,0.306702007,0.238546005,0.034078001,0.0,0.0,0.0,2641,143,23,3,600000,2500000
6591,Austria Vienna,Attack Centre-Forward,194.0,28.0,64,0.967741935,0.164722032,0.144131778,0.020590254,0.0,0.0,0.0,4371,728,86,2,2200000,2200000
6595,SK Austria Klagenfurt,Goalkeeper,192.0,24.0,61,0.0,0.0,0.066055046,0.0,0.016513761,1.849541284,0.148623853,5450,14,1,3,700000,700000
6599,SK Austria Klagenfurt,Defender Centre-Back,190.0,28.0,59,0.075031263,0.093789079,0.262609421,0.0,0.056273447,0.0,0.0,4798,651,50,1,800000,800000
6600,SK Austria Klagenfurt,Defender Centre-Back,191.0,33.0,61,0.068912711,0.051684533,0.172281776,0.0,0.017228178,0.0,0.0,5224,74,9,1,400000,500000
6601,SK Austria Klagenfurt,Defender Left-Back,173.0,28.0,44,0.028911018,0.057822037,0.202377128,0.0,0.028911018,0.0,0.0,3113,310,35,0,350000,400000
6602,SK Austria Klagenfurt,Defender Left-Back,177.0,25.0,51,0.0,0.147018786,0.122515655,0.0,0.0,0.0,0.0,3673,160,18,2,400000,400000
6605,SK Austria Klagenfurt,Defender Right-Back,179.0,33.0,64,0.076487252,0.280453258,0.076487252,0.0,0.0,0.0,0.0,3530,51,7,2,350000,650000
6606,SK Austria Klagenfurt,Defender Right-Back,182.0,28.0,39,0.035629454,0.071258907,0.035629454,0.0,0.0,0.0,0.0,2526,88,16,2,250000,400000
6607,SK Austria Klagenfurt,midfield-DefensiveMidfield,180.0,23.0,46,0.0,0.070066174,0.280264694,0.035033087,0.0,0.0,0.0,2569,442,68,2,600000,900000
6608,SK Austria Klagenfurt,midfield-DefensiveMidfield,182.0,30.0,50,0.094687007,0.047343503,0.236717517,0.0,0.023671752,0.0,0.0,3802,175,20,0,400000,400000
6609,SK Austria Klagenfurt,midfield-CentralMidfield,190.0,23.0,61,0.167776298,0.239680426,0.215712383,0.0,0.0,0.0,0.0,3755,69,3,0,800000,800000
6610,SK Austria Klagenfurt,midfield-CentralMidfield,182.0,26.0,69,0.109698764,0.141041268,0.172383772,0.0,0.015671252,0.0,0.0,5743,242,33,0,750000,750000
6612,SK Austria Klagenfurt,midfield-CentralMidfield,191.0,20.0,61,0.208333333,0.15625,0.182291667,0.0,0.0,0.0,0.0,3456,5,1,0,175000,250000
6614,SK Austria Klagenfurt,midfield-CentralMidfield,181.2403529,19.0,38,0.253283302,0.112570356,0.225140713,0.0,0.0,0.0,0.0,3198,0,0,0,75000,75000
6617,SK Austria Klagenfurt,Attack-LeftWinger,171.0,27.0,50,0.221538462,0.249230769,0.221538462,0.0,0.027692308,0.0,0.0,3250,42,5,1,500000,700000
6618,SK Austria Klagenfurt,Attack-LeftWinger,180.0,25.0,46,0.141398272,0.282796544,0.070699136,0.0,0.0,0.0,0.0,2546,159,21,0,500000,500000
6622,SK Austria Klagenfurt,Attack Centre-Forward,193.0,21.0,53,0.378947368,0.252631579,0.0,0.0,0.0,0.0,0.0,2850,155,19,1,300000,300000
6624,Wolfsberger AC,Goalkeeper,194.0,29.0,72,0.0,0.0,0.055299539,0.0,0.0,1.437788018,0.235023041,6510,508,74,4,350000,400000
6625,Wolfsberger AC,Goalkeeper,192.0,22.0,34,0.0,0.0,0.057692308,0.0,0.0,0.778846154,0.461538462,3120,103,14,0,300000,450000
6626,Wolfsberger AC,Goalkeeper,187.0,21.0,42,0.0,0.0,0.145788337,0.0,0.0,1.530777538,0.218682505,3704,0,0,0,125000,125000
6627,Wolfsberger AC,Defender Centre-Back,188.0,26.0,58,0.0726979,0.03634895,0.18174475,0.0,0.0,0.0,0.0,4952,941,116,2,750000,1500000
6628,Wolfsberger AC,Defender Centre-Back,189.0,19.0,37,0.0,0.0,0.084586466,0.0,0.0,0.0,0.0,3192,0,0,0,800000,800000
6629,Wolfsberger AC,Defender Centre-Back,195.0,23.0,56,0.060483871,0.0,0.241935484,0.0,0.02016129,0.0,0.0,4464,0,0,0,350000,600000
6631,Wolfsberger AC,Defender Centre-Back,196.0,31.0,77,0.055675843,0.069594804,0.208784411,0.0,0.013918961,0.0,0.0,6466,653,69,3,400000,750000
6633,Wolfsberger AC,Defender Left-Back,181.0,22.0,65,0.016781652,0.117471564,0.117471564,0.0,0.0,0.0,0.0,5363,283,49,0,250000,400000
6635,Wolfsberger AC,Defender Right-Back,178.0,20.0,59,0.143737166,0.184804928,0.102669405,0.0,0.0,0.0,0.0,4383,56,7,0,1500000,2000000
6636,Wolfsberger AC,Defender Right-Back,183.0,32.0,44,0.034351145,0.20610687,0.171755725,0.0,0.0,0.0,0.0,2620,505,58,3,350000,800000
6637,Wolfsberger AC,Defender Right-Back,183.0,21.0,51,0.020022247,0.0,0.100111235,0.020022247,0.0,0.0,0.0,4495,14,1,0,75000,100000
